citation_key_cp,title,total_references,total_citations,abstract
Fink2008,Generic Verticalization Strategies in Enterprise System Markets: An Exploratory Framework,75,109,"In recent years, enterprise system (ES) software m..."
Goh2013,Developing the Agile IS Development Practices in Large-Scale IT Projects: The Trust-Mediated Organizational Controls and IT Project Team Capabilities Perspectives,82,187,Research ArticleThis paper is based on multiple ca...
Gordon2005,A Resource-based View of Competitive Advantage at the Port of Singapore,15,20,The purpose of this paper is to discuss the resour...
Greenaway2005,Theoretical Explanations for Firms' Information Privacy Behaviors,95,148,Information privacy is an important information ma...
Grover2009,Resource-Based Framework for IS Research: Knowledge Firms and Sustainability in Knowledge Markets,81,77,Varun Grover Clemson UniversityThe open and fragme...
Henningsson2014,Learning to Acquire: How Serial Acquirers Build Organisational Knowledge for Information Systems Integration,74,269,This paper develops a knowledge-based model of inf...
Hulland2007,The Impact of Capabilities and Prior Investments on Online Channel Commitment and Performance,109,191,and succeed with online channel ventures? Drawing ...
Ibrahim2009,The Impacts of Competence-Trust and Openness-trust on Interorganizational Systems,48,88,Trust can have imperative influences on the use of...
Leidner2009,The Role of IT in Crisis Response: Lessons from the SARS and Asian Tsunami Disasters,75,132,abstractResearch on crisis management recognizes t...
Li2010,"Why Do Software Firms Fail? Capabilities, Competitive Actions, and Firm Survival in the Software Industry from 1995 to 2007",109,167,T his study examines why firms fail or survive in ...
Mithas2008,"Buyer Intention to Use Internet-Enabled Reverse Auctions: The Role of Asset Specificity, Product Specialization, and Non-Contractibility",84,141,Information technology enabled exchanges in electr...
Nazir2012,IT and Firm Agility: An Electronic Integration Perspective,103,174,Research ArticleFirms evolving in increasingly tur...
Nevo2007b,An Examination of the Trade-Off between Internal and External IT Capabilities,75,123,The business case for hiring external IT consultan...
Otim2012,Resolving Uncertainty and Creating Value from the Exercise of E-Commerce Investment Options,83,170,This study examines the effect of the resolution o...
Piccoli2005,Review: IT- Dependent Strategic Initiatives and Sustained Competitive Advantage: A Review and Synthesis of the Literature,135,226,The role of information systems in the creation an...
Silva2007a,Fighting Against Windmills: Strategic Information Systems and Organizational Deep Structures,128,265,This paper focuses on the process of implementing ...
Slaughter2006,Aligning Software Processes with Strategy,68,124,software processes are customized to complement di...
Steinfield2011,"Through a Glass Clearly: Standards, Architecture, and Process Transparency in Global Supply Chains",54,126,Charles steinfield is a professor and chair in the...
Tams2014,Modern Information Technology in an Old Workforce: Toward a Strategic Research Agenda,139,287,abstractAs the workforce ages rapidly in industria...
Tanriverdi2006,Performance Effects of Information Technology Synergies in Multibusiness Firms,53,150,Unlike technologies that are applicable in a few s...
Tarafdar2007,Understanding the Influence of Information Systems Competencies on Process Innovation: A Resource-Based View,158,202,The resource based view of firms is used to explor...
Vannoy2010,Managerial Interpretations of the Role of Information Systems in Competitive Actions and Firm Performance: A Grounded Theory Investigation,107,225,U sing an interpretive grounded theory research ap...
Wu2012a,Examining Knowledge Management Enabled Performance for Hospital Professionals: A Dynamic Capability View and the Mediating Role of Process Capability,90,136,Research ArticleIng-Long WuHealthcare organization...
Xue2011,Environmental Uncertainty and IT Infrastructure Governance: A Curvilinear Relationship,39,70,E xtant research considers the IT governance choic...
Zhang2008a,Unpacking the Effect of IT Capability on the Performance of Export-Focused SMEs: A Report from China,76,143,Export-focused small and medium-sized enterprises ...
Zhang2013,Drivers and Export Performance Impacts of IT Capability in ‘Born-Global’ Firms: A Cross-National Study,92,162,Past research focusing on large firms has argued t...
Zheng2011,"Collective Agility, Paradox and Organizational Improvisation: The Development of a Particle Physics Grid",91,223,This paper examines systems development in a globa...
Zheng2013a,E-government Adoption in Public Administration Organizations: Integrating Institutional Theory Perspective and Resource-Based View,57,126,We develop and test a theoretical model to investi...
